Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,Sustainability Fact Book 2023,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,BIODIVERSITY AREAS BY ASSET,,,,,,,,,,,,,
,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value",,,,,,,,,,,,,
,,,,,,Relative biodiversity value,,Relative biodiversity vulnerability,,,,,,
,Biodiversity sensitivity rank 2023,Site name,Primary commodity,Product group,Country,Species range rarity rank,Natural/modified habitat rank,Threatened species range rarity rank,Critical habitat rank,Types of overlapping biodiversity features,Biodiversity feature name,,,
,32,Gove Operations,Aluminium,Aluminium,Australia,13,47,5,18,KBA - migratory birds/congregations,Higginson Island,,,
,33,Oyu Tolgoi,Copper,Copper,Mongolia,39,5,37,44,"KBA - CR/EN, other",Galba Gobi,,,
,33,Oyu Tolgoi,Copper,Copper,Mongolia,39,5,37,44,Strictly Protected Area,Gobiin baga /B/,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Conservation Easement,Carr Fork or Arco,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Rosecrest Plat U,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Rosecrest Plat Q,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Rosecrest Plat V,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Village Drainage,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Pepper Grass Drainage,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Murdoch Peak Detention,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Juniper Crest Detention,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,City Of Herriman,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,The Cove At Herriman Springs,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Lookout Ridge,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Lake Ridge,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Ab,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Aa,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Rose Crest Drainage,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Rosecrest Plat P,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Herriman Highlands,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Fort Herriman Cove,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Emmeline Detention Basin,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Rosecrest Plat J,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Fort Pierce,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Valley View Detention Basin,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Fort Pierce Detention Basin,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Knapper Point Detention Basin,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Oak Hollow,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Emmeline Drainage,,,
,34,Barney Canyon,Copper,Copper,USA,19,36,14,28,Local Conservation Area,Desert Creek,,,
