Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
165,,3. We define Contingent Workers as the contract and agency labour employees in Telstra Group and its controlled entities within the Telstra Group HR System that are included in our Direct workforce definition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,Workforce by contract type1,,,,,,,,,,GRI Standards 2-30,,,,,,,,,,,,,,,,,,,
170,,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
172,,Individual contracts or statutory agreements 2,26.7,20,22,22.5078793336335,26,,,,,,,,,,,,,,,,,,,,,,,,
173,,"Collective agreements 3,4",73.3,80,78,77.4921206663665,74,,,,,,,,,,,,,,,,,,,,,,,,
175,,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,2. Individual contracts or individual statutory agreements include Common Law Contracts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,3. Collective agreements include Employee Agreements (EAs).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,4. Excludes Board Members who do not have Collective agreements populated in the Telstra Group HR System.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,EMPLOYEE ATTRACTION AND RETENTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,Table 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,Total new hires1,,,,,,,,,,GRI Standards 401-1,,,,,,,,,,,,,,,,,,,
186,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
187,,Headcount,2703,2471,2721,3767,2585,,,,,,,,,,,,,,,,,,,,,,,,
188,,Rate (%),0.0878196172715163,0.08794846241457858,0.10933419054124643,0.14624582653932758,0.0862615543764808,,,,,,,,,,,,,,,,,,,,,,,,
190,,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,2. Data includes new hires only. New hires refer to all employees hired from outside of Telstra. Hiring manager has approval for external recruitment (advertising externally to the general market).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,3. Rate (%) refers to the proportion of new hires to total Direct Headcount.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,Table 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,"New hires by gender, age group and significant location 1,2,3,4,5",,,,,,,,,,GRI Standards 401-1,,,,,,,,,,,,,,,,,,,
198,,Headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,FY23,FY22,FY21,FY20,FY19,% change FY22 - FY23,,,,,,,,,,,,,,,,,,,,,,,
