Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
48,,Total Scope 2 emissions (location based),36225.4,45989.557349999995,49171.6514,54465.54872,70648,82592,87858,89880,,,Total Scope 2 emissions (location based),44707.319229999994,46195.136190000005,53750.54872,70545,,,
49,,Market based emissions - factors,,,,,,,,,,,Market based emissions - factors,,,,,,,
50,,Renewable Power Percentage,0.1896,0.1864,0.1854,0.19,0.19,0.16,0.14,0.13,,,Renewable Power Percentage %,0.1864,0.1854,0.19,0.19,,,
51,,National Emission Factor - Scope 2 (Market),0.68,0.73,0.78,0.79,0.79,0.79,0.8,0.8,,,National Emission Factor - Scope 2 (Market),0.73,0.78,0.79,0.79,,,
52,,Estimated National RMF (kgCO2e/kWh),0.8390918065153011,0.8972468043264503,0.9575251657255095,0.9753086419753086,0.9753086419753086,0.9404761904761906,0.930232558139535,0.9195402298850576,,,Estimated National RMF (kgCO2e/kWh),0.8972468043264503,0.9575251657255095,0.9753086419753086,0.9753086419753086,,,
53,,Market based emissions - by source,,,,,,,,,,,Market based emissions - by source,,,,,,,
54,,GreenPower,0,0,0,0,0,0,0,0,,,GreenPower,0,0,0,0,,,
55,,Renewables (Grid),0,0,0,0,0,0,0,0,,,Renewables (Grid),0,0,0,0,,,
56,,Brown (Grid),34426.96958600001,"42,585 3","47,063 3","52,227 3","66,488 3",78191.38444,83763.948,85091.84240000001,,,Brown (Grid),41491.877239999994,44465.7198414,51588.66635489999,66385.54702,,,
57,,"Renewables (self-generated, consumed onsite and produce LGCs)",13860.757847976307,"15,492 3","21,096 3","21,685 3","12,121 3",3079.5544880952384,2220.6213953488377,1784.5416091954025,,,"Renewables (self-generated, consumed onsite and produce LGCs)",16827.99819579646,21157.368819052295,21755.52325925926,12638.267851851851,,,
58,,"Renewables (self-generated, consumed onsite and no LGCs)",974.5486414156929,671.184278513614,0,0,0,0,0,0,,,"Renewables (self-generated, consumed onsite and no LGCs)",615.745459197886,0,0,0,,,
59,,Market based emissions - LGCs,,,,,,,,,,,Market based emissions - LGCs,,,,,,,
60,,LGCs sold (MWh),13714,40097,0,15287,11573,589,2139,1918,,,LGCs sold (MWh),40097,0,15287,11573,,,
61,,LGCs sold (tCO2-e),11507.30503455084,35976.90511307768,0,14909.543209876543,11287.246913580248,553.9404761904763,1989.7674418604654,1763.6781609195405,,,LGCs sold (tCO2-e),35976.90511307768,0,14909.543209876543,11287.246913580248,,,
62,,LGC surrendered (MWh),0,0,0,0,0,0,0,0,,,LGC surrendered (MWh),0,0,0,0,,,
63,,LGC surrendered (tCO2-e),0,0,0,0,0,0,0,0,,,LGC surrendered (tCO2-e),0,0,0,0,,,
